,연령별(만)인구현황(기관별),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,행정기관 : 대전광역시 서구 ,,,,,,,,,,,출력일자 :,2025.05.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,통계년월 : 2025년 04월 현재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연령,,서구,,,복수동,,,도마1동,,,도마2동,,,정림동,,,변동,,,용문동,,,탄방동,,,괴정동,,,가장동,,,내동,,,갈마1동,,,갈마2동,,,월평1동,,,월평2동,,,월평3동,,,가수원동,,,도안동,,,관저1동,,,관저2동,,,기성동,,,둔산1동,,,둔산2동,,,만년동,,,둔산3동,,
,,,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비
,합   계,계,"461,087",100.00,96.05,"21,118",100.00,97.98,"18,283",100.00,101.27,"18,952",100.00,99.18,"14,794",100.00,93.31,"12,540",100.00,102.58,"16,717",100.00,93.78,"25,976",100.00,92.41,"18,237",100.00,94.96,"10,484",100.00,92.47,"21,981",100.00,91.47,"20,844",100.00,102.41,"23,490",100.00,100.32,"11,038",100.00,119.23,"13,305",100.00,89.75,"19,911",100.00,95.01,"10,124",100.00,96.05,"36,424",100.00,95.87,"14,567",100.00,87.14,"47,497",100.00,94.29,"3,336",100.00,106.56,"16,266",100.00,97.84,"34,490",100.00,92.17,"11,999",100.00,104.20,"18,714",100.00,92.10
,,남,"225,895",100.00,,"10,451",100.00,,"9,199",100.00,,"9,437",100.00,,"7,141",100.00,,"6,350",100.00,,"8,090",100.00,,"12,476",100.00,,"8,883",100.00,,"5,037",100.00,,"10,501",100.00,,"10,546",100.00,,"11,764",100.00,,"6,003",100.00,,"6,293",100.00,,"9,701",100.00,,"4,960",100.00,,"17,828",100.00,,"6,783",100.00,,"23,050",100.00,,"1,721",100.00,,"8,044",100.00,,"16,542",100.00,,"6,123",100.00,,"8,972",100.00,
,,여,"235,192",100.00,,"10,667",100.00,,"9,084",100.00,,"9,515",100.00,,"7,653",100.00,,"6,190",100.00,,"8,627",100.00,,"13,500",100.00,,"9,354",100.00,,"5,447",100.00,,"11,480",100.00,,"10,298",100.00,,"11,726",100.00,,"5,035",100.00,,"7,012",100.00,,"10,210",100.00,,"5,164",100.00,,"18,596",100.00,,"7,784",100.00,,"24,447",100.00,,"1,615",100.00,,"8,222",100.00,,"17,948",100.00,,"5,876",100.00,,"9,742",100.00,
,0세 ~ 9세,계,"28,394",6.16,105.11,"1,338",6.34,96.76,"1,104",6.04,105.97,"1,065",5.62,109.23,643,4.35,116.50,544,4.34,108.43,"1,127",6.74,101.97,"1,238",4.77,119.50,644,3.53,92.81,491,4.68,117.26,"1,197",5.45,103.23,722,3.46,98.35,881,3.75,100.68,290,2.63,102.80,557,4.19,100.36,"1,312",6.59,116.14,416,4.11,112.24,"4,569",12.54,103.79,791,5.43,101.79,"4,126",8.69,103.15,62,1.86,169.57,"1,289",7.92,102.99,"2,464",7.14,105.33,635,5.29,104.18,889,4.75,107.71
,,남,"14,551",6.44,,658,6.30,,568,6.17,,556,5.89,,346,4.85,,283,4.46,,569,7.03,,674,5.40,,310,3.49,,265,5.26,,608,5.79,,358,3.39,,442,3.76,,147,2.45,,279,4.43,,705,7.27,,220,4.44,,"2,327",13.05,,399,5.88,,"2,095",9.09,,39,2.27,,654,8.13,,"1,264",7.64,,324,5.29,,461,5.14,
,,여,"13,843",5.89,,680,6.37,,536,5.90,,509,5.35,,297,3.88,,261,4.22,,558,6.47,,564,4.18,,334,3.57,,226,4.15,,589,5.13,,364,3.53,,439,3.74,,143,2.84,,278,3.96,,607,5.95,,196,3.80,,"2,242",12.06,,392,5.04,,"2,031",8.31,,23,1.42,,635,7.72,,"1,200",6.69,,311,5.29,,428,4.39,
,10세 ~ 19세,계,"45,761",9.92,105.72,"2,737",12.96,100.22,"1,183",6.47,105.38,"1,370",7.23,116.43,"1,216",8.22,124.35,910,7.26,111.63,"1,012",6.05,109.52,"2,097",8.07,105.39,"1,172",6.43,98.98,918,8.76,94.49,"2,276",10.35,94.86,"1,341",6.43,106.94,"1,636",6.96,104.76,488,4.42,106.78,"1,096",8.24,100.37,"2,307",11.59,114.21,845,8.35,104.11,"5,211",14.31,105.08,"1,403",9.63,103.92,"5,941",12.51,101.05,138,4.14,115.63,"3,248",19.97,111.60,"3,524",10.22,105.84,"1,049",8.74,108.96,"2,643",14.12,112.29
,,남,"23,517",10.41,,"1,370",13.11,,607,6.60,,737,7.81,,674,9.44,,480,7.56,,529,6.54,,"1,076",8.62,,583,6.56,,446,8.85,,"1,108",10.55,,693,6.57,,837,7.11,,252,4.20,,549,8.72,,"1,230",12.68,,431,8.69,,"2,670",14.98,,715,10.54,,"2,986",12.95,,74,4.30,,"1,713",21.30,,"1,812",10.95,,547,8.93,,"1,398",15.58,
,,여,"22,244",9.46,,"1,367",12.82,,576,6.34,,633,6.65,,542,7.08,,430,6.95,,483,5.60,,"1,021",7.56,,589,6.30,,472,8.67,,"1,168",10.17,,648,6.29,,799,6.81,,236,4.69,,547,7.80,,"1,077",10.55,,414,8.02,,"2,541",13.66,,688,8.84,,"2,955",12.09,,64,3.96,,"1,535",18.67,,"1,712",9.54,,502,8.54,,"1,245",12.78,
,20세 ~ 29세,계,"64,795",14.05,100.96,"2,597",12.30,115.70,"2,656",14.53,126.62,"2,204",11.63,117.14,"1,438",9.72,109.62,"1,312",10.46,113.33,"2,544",15.22,86.37,"4,748",18.28,81.01,"4,079",22.37,73.21,"1,235",11.78,94.49,"2,592",11.79,100.77,"4,109",19.71,103.52,"4,942",21.04,89.78,"2,816",25.51,122.26,"1,381",10.38,118.51,"2,083",10.46,131.19,"1,047",10.34,127.61,"4,065",11.16,88.02,"2,385",16.37,84.88,"6,102",12.85,103.06,174,5.22,138.36,"1,416",8.71,125.12,"4,630",13.42,93.97,"2,101",17.51,148.64,"2,139",11.43,112.20
