호선,역명,자전거,헬맷,소독기,보관대
1호선,설화명곡,0,0,0,0
1호선,화원,0,0,0,0
1호선,대곡,8,8,1,2
1호선,진천,4,8,1,2
1호선,월배,4,4,1,2
1호선,월촌,4,4,1,2
1호선,서부정류장,5,5,1,2
1호선,현충로,9,9,1,1
1호선,영대병원,5,6,1,1
1호선,명덕,4,6,1,1
1호선,칠성시장,7,9,1,2
1호선,신천,5,7,1,2
1호선,동대구,7,7,1,2
1호선,동구청,2,5,1,1
1호선,아양교,13,13,1,2
1호선,동촌,20,20,1,2
1호선,해안,8,8,1,2
1호선,율하,5,6,1,2
1호선,신기,7,10,1,2
1호선,반야월,3,6,1,1
1호선,각산,11,9,1,2
2호선,문양,9,8,1,3
2호선,대실,21,22,1,2
2호선,강창,7,10,1,3
2호선,계명대,8,13,1,3
2호선,성서산단,8,8,1,2
2호선,이곡,3,10,1,2
2호선,용산,4,6,1,2
2호선,감삼,2,8,1,2
2호선,두류,5,5,1,2
2호선,경대병원,12,17,1,2
2호선,대구은행,2,6,1,2
2호선,범어,6,6,1,2
2호선,만촌,5,5,1,1
2호선,연호,4,4,1,1
2호선,고산,6,5,1,2
2호선,신매,3,4,1,1
2호선,사월,5,6,1,2
2호선,정평,10,8,1,2
2호선,임당,6,5,1,2
3호선,남산,5,4,0,6
