행정구역,2025년04월_총인구수,2025년04월_세대수,2025년04월_세대당 인구,2025년04월_남자 인구수,2025년04월_여자 인구수,2025년04월_남여 비율
대구광역시  (2700000000),2359159 ,1107916 ,2.13,1156613 ,1202546 ,0.96
대구광역시 중구 (2711000000),98877 ,49423 ,2,47300 ,51577 ,0.92
대구광역시 동구 (2714000000),341142 ,165276 ,2.06,166767 ,174375 ,0.96
대구광역시 서구 (2717000000),161712 ,83855 ,1.93,80126 ,81586 ,0.98
대구광역시 남구 (2720000000),136703 ,75653 ,1.81,65109 ,71594 ,0.91
대구광역시 북구 (2723000000),411446 ,192246 ,2.14,203651 ,207795 ,0.98
대구광역시 수성구 (2726000000),409898 ,175818 ,2.33,197082 ,212816 ,0.93
대구광역시 달서구 (2729000000),520577 ,238412 ,2.18,255034 ,265543 ,0.96
대구광역시 달성군 (2771000000),256376 ,113809 ,2.25,129930 ,126446 ,1.03
대구광역시 군위군 (2772000000),22428 ,13424 ,1.67,11614 ,10814 ,1.07
