"동별","항목",2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4
"동별","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","계",9602826,205595,280911,356556,379742,570525,819346,825292,670690,721372,694249,788526,733224,703122,640972,455827,342898,237347,123393,41874,9814,1551,9597372,207542,286741,356567,381258,581606,818212,822127,669306,727806,691254,794160,730403,705495,640195,439509,337947,235361,120587,40193,9577,1526
"합계","한국인",9335734,201873,275078,351729,371868,523527,774157,798609,646833,701259,677737,771097,713274,688150,633335,452517,341723,236887,123091,41733,9751,1506,9331828,202897,280883,352036,368731,530569,777691,796699,645966,708639,675311,775758,710310,692690,633549,436781,336990,234945,120305,40067,9527,1484
"합계","등록외국인",267092,3722,5833,4827,7874,46998,45189,26683,23857,20113,16512,17429,19950,14972,7637,3310,1175,460,302,141,63,45,265544,4645,5858,4531,12527,51037,40521,25428,23340,19167,15943,18402,20093,12805,6646,2728,957,416,282,126,50,42
"종로구","계",149478,2360,3392,4621,5460,11712,14921,12330,9152,10008,9651,12206,11907,11516,9892,6787,5483,4331,2551,937,218,43,149608,2449,3497,4644,5595,12174,14573,12207,9177,10034,9658,12328,11884,11548,9874,6532,5421,4351,2509,889,223,41
"종로구","한국인",138184,2203,3152,4394,5076,8508,12277,11326,8377,9309,9108,11743,11531,11245,9720,6725,5441,4316,2542,931,217,43,138336,2254,3257,4420,4958,8639,12324,11326,8428,9340,9147,11851,11525,11293,9723,6478,5389,4337,2500,884,222,41
"종로구","등록외국인",11294,157,240,227,384,3204,2644,1004,775,699,543,463,376,271,172,62,42,15,9,6,1,-,11272,195,240,224,637,3535,2249,881,749,694,511,477,359,255,151,54,32,14,9,5,1,-
"중구","계",130418,2681,2962,3024,3532,7926,12263,12982,10524,9541,8232,9742,9948,9913,8983,6385,4913,3785,2096,764,199,23,131214,2775,3048,3057,3604,8309,12314,13055,10551,9602,8238,9895,9971,9942,9075,6133,4865,3778,2045,735,198,24
"중구","한국인",119850,2512,2672,2747,3162,6202,10313,11892,9511,8751,7538,9079,9323,9481,8739,6261,4859,3755,2079,756,197,21,120544,2562,2754,2803,3080,6346,10431,12014,9582,8837,7579,9235,9345,9568,8841,6021,4824,3747,2027,728,198,22
"중구","등록외국인",10568,169,290,277,370,1724,1950,1090,1013,790,694,663,625,432,244,124,54,30,17,8,2,2,10670,213,294,254,524,1963,1883,1041,969,765,659,660,626,374,234,112,41,31,18,7,-,2
